sample(compound name),M1D,F2D,F3D,F1D,M3D,M2D,M1P,M2P,F1P,M3P,F3P,F2P,,,,,,,,,,,,,,,,,,,,,,,,火山图,,,,聚类图,,
Tyrosine ,2.32103081,2.039110995,2.354874285,2.155676327,2.423576903,2.572773566,2.697823963,2.671997646,2.285448721,2.585469895,2.38789546,2.211303031,13.86704289,14.83993872,0.934440711,0.18796958,,,1/3-Methylhistidine ,1.719119452,1.512918598,1.74930834,1.900723773,1.6165323,1.768489945,1.968246129,1.898400177,2.130243608,1.937744271,1.989636398,2.009569595,,,0.934440711,,Tyrosine ,-0.097824965,0.18796958,,Tyrosine ,6.871390975,0.090144615
Sorbitol ,1.019603215,1.173883159,1.0961022,1.005853962,1.201080744,1.240925728,1.2427593,1.22111679,0.900204415,1.193608635,1.013871899,0.945845277,6.737449008,6.517406316,1.03376231,0.628008129,,,Arginine ,3.085537283,2.764395789,3.135075324,2.97254597,2.807670353,2.887843748,3.453297973,3.35702884,3.364578403,3.34155333,3.558042315,3.419285355,,,1.03376231,,Sorbitol ,0.047904509,0.628008129,,Sorbitol ,11.35264331,0.675912638
213C-Tyrosine ,4.295263049,4.49912287,4.365370787,4.332761083,4.471762463,4.400831522,4.103752985,4.222824434,4.210989478,4.297089639,4.107694517,4.129836095,26.36511177,25.07218715,1.051568083,0.000770023,,,Cysteinyl-Glycine ,0.643506195,0.488717923,0.326475254,0.692610446,0.539840744,0.593439116,0.852375179,0.784995547,1.012404162,0.756502974,1.054002515,1.205121019,,,1.051568083,,213C-Tyrosine ,0.072542259,0.000770023,,213C-Tyrosine ,4.067194591,0.073312282
Acetylcarnitine ,2.976539585,2.910952563,2.925356117,3.028064426,2.769806319,2.80258019,2.893918228,2.93952232,3.082138764,2.839245236,2.984958087,2.981591221,17.4132992,17.72137386,0.982615645,0.356286906,,,Tyrosine ,2.32103081,2.039110995,2.354874285,2.155676327,2.423576903,2.572773566,2.697823963,2.671997646,2.285448721,2.585469895,2.38789546,2.211303031,,,0.982615645,,Acetylcarnitine ,-0.025300885,0.356286906,ok,Acetylcarnitine ,8.167284031,0.33098602
Tryptophan ,2.012091207,1.796367106,2.076088391,2.06961251,1.894556907,1.93344903,2.126628961,2.037042164,2.175539329,2.020217664,2.301777003,2.147724321,11.78216515,12.80892944,0.91983996,0.018910972,,,Sorbitol ,1.019603215,1.173883159,1.0961022,1.005853962,1.201080744,1.240925728,1.2427593,1.22111679,0.900204415,1.193608635,1.013871899,0.945845277,,,0.91983996,,Tryptophan ,-0.120545221,0.018910972,,Tryptophan ,4.073165771,-0.101634249
L-Kynurenine ,1.448815403,1.610633915,1.513627977,1.498357857,1.606436577,1.549169753,1.27696884,1.367475769,1.377924803,1.435200482,1.296123249,1.31298449,9.227041482,8.066677633,1.143846563,0.000286407,,,213C-Tyrosine ,4.295263049,4.49912287,4.365370787,4.332761083,4.471762463,4.400831522,4.103752985,4.222824434,4.210989478,4.297089639,4.107694517,4.129836095,,,1.143846563,,L-Kynurenine ,0.19389354,0.000286407,,L-Kynurenine ,13.67846681,0.194179947
Cystine ,1.670232566,1.832051084,1.735045142,1.719775022,1.827853745,1.77058692,1.49838599,1.588892927,1.599341961,1.656617644,1.517540401,1.534401643,10.55554448,9.395180566,1.123506292,0.000286407,,,Acetylcarnitine ,2.976539585,2.910952563,2.925356117,3.028064426,2.769806319,2.80258019,2.893918228,2.93952232,3.082138764,2.839245236,2.984958087,2.981591221,,,1.123506292,,Cystine ,0.168008204,0.000286407,,Cystine ,9.929300836,0.168294611
Cytidine ,2.873850291,2.500100029,2.738771551,2.871323534,2.795530389,2.767167127,2.943916082,2.885293347,2.809855282,2.615720261,2.82945793,2.761119261,16.54674292,16.84536216,0.982272911,0.509363212,,,Tryptophan ,2.012091207,1.796367106,2.076088391,2.06961251,1.894556907,1.93344903,2.126628961,2.037042164,2.175539329,2.020217664,2.301777003,2.147724321,,,0.982272911,,Cytidine ,-0.025804182,0.509363212,,Cytidine ,7.451991899,0.483559029
Uridine ,2.063210744,1.66356709,1.936386908,2.048017555,1.959787678,1.975148398,2.16079789,2.031118337,1.974727934,1.893593065,1.943552404,1.900240693,11.64611837,11.90403032,0.978334065,0.5634789,,,L-Kynurenine ,1.448815403,1.610633915,1.513627977,1.498357857,1.606436577,1.549169753,1.27696884,1.367475769,1.377924803,1.435200482,1.296123249,1.31298449,,,0.978334065,,Uridine ,-0.031600919,0.5634789,,Uridine ,5.022642286,0.531877982
Adenosine ,2.83099658,3.137499469,3.099948164,2.723378526,2.769304236,2.677007834,3.373464632,2.720837727,2.880913892,3.108740392,2.828652035,2.762885097,17.23813481,17.67549378,0.975256195,0.587052785,,,Cystine ,1.670232566,1.832051084,1.735045142,1.719775022,1.827853745,1.77058692,1.49838599,1.588892927,1.599341961,1.656617644,1.517540401,1.534401643,,,0.975256195,,Adenosine ,-0.036146837,0.587052785,,Adenosine ,5.683815883,0.550905948
Inosine ,3.790736705,3.430080856,3.633152942,3.677953667,3.566900157,3.604518892,3.924870732,4.002878222,3.870943677,3.93028924,3.840784941,3.878737941,21.70334322,23.44850475,0.92557472,0.00031841,,,Cytidine ,2.873850291,2.500100029,2.738771551,2.871323534,2.795530389,2.767167127,2.943916082,2.885293347,2.809855282,2.615720261,2.82945793,2.761119261,,,0.92557472,,Inosine ,-0.111578634,0.00031841,,Inosine ,9.131872172,-0.111260224
1-Methyladenosine ,0.795253116,0.920704567,0.659002983,0.752403559,0.798584708,0.615730086,0.76666773,0.821937105,0.649018783,0.932599739,0.733278637,0.614995503,4.541679019,4.518497497,1.005130361,0.953821063,,,Uridine ,2.063210744,1.66356709,1.936386908,2.048017555,1.959787678,1.975148398,2.16079789,2.031118337,1.974727934,1.893593065,1.943552404,1.900240693,,,1.005130361,,1-Methyladenosine ,0.007382624,0.953821063,,1-Methyladenosine ,6.742516523,0.961203687
6-Methyladenosine ,0.293911293,0.455727956,0.358722958,0.343453029,0.45153065,0.394264341,0.122068976,0.212573258,0.223022052,0.2802966,0.14122273,0.158083439,2.297610227,1.137267055,2.020290852,0.000286407,,,Adenosine ,2.83099658,3.137499469,3.099948164,2.723378526,2.769304236,2.677007834,3.373464632,2.720837727,2.880913892,3.108740392,2.828652035,2.762885097,,,2.020290852,,6-Methyladenosine ,1.014563006,0.000286407,,6-Methyladenosine ,10.72056838,1.014849413
Guanosine ,3.209776416,2.789913884,3.087526777,3.192170001,3.095767391,3.175185285,3.311798898,3.394966207,3.174813578,3.136692561,3.138117129,3.170817263,18.55033975,19.32720564,0.959804542,0.124866562,,,Inosine ,3.790736705,3.430080856,3.633152942,3.677953667,3.566900157,3.604518892,3.924870732,4.002878222,3.870943677,3.93028924,3.840784941,3.878737941,,,0.959804542,,Guanosine ,-0.059187455,0.124866562,,Guanosine ,12.60961666,0.065679107
GMP ,1.689377039,1.078911844,1.53577609,1.567506575,1.599926263,1.638570664,1.532176372,0.976876916,1.437158342,1.124063554,1.602266074,1.494723703,9.110068475,8.167264961,1.115436871,0.277292306,,,1-Methyladenosine ,0.795253116,0.920704567,0.659002983,0.752403559,0.798584708,0.615730086,0.76666773,0.821937105,0.649018783,0.932599739,0.733278637,0.614995503,,,1.115436871,,GMP ,0.157608866,0.277292306,,GMP ,3.39631075,0.434901172
Propionate ,-0.036135175,0.125674851,0.028673231,0.013403984,0.121477662,0.064213198,-0.207962251,-0.117467469,-0.107019539,-0.04974905,-0.188810851,-0.171952048,0.317307751,-0.842961208,-0.376420348,0.000286407,,,6-Methyladenosine ,0.293911293,0.455727956,0.358722958,0.343453029,0.45153065,0.394264341,0.122068976,0.212573258,0.223022052,0.2802966,0.14122273,0.158083439,,,NA,,Propionate ,0,0.000286407,,Propionate ,0.579602769,0.000286407
Pyruvate ,0.904114627,1.065933037,0.96892715,0.953657042,1.0617357,1.004468905,0.7322683,0.822775082,0.833224103,0.890499719,0.751422673,0.768283884,5.958836461,4.798473761,1.24181912,0.000286407,,,Guanosine ,3.209776416,2.789913884,3.087526777,3.192170001,3.095767391,3.175185285,3.311798898,3.394966207,3.174813578,3.136692561,3.138117129,3.170817263,,,1.24181912,,Pyruvate ,0.312455049,0.000286407,,Pyruvate ,10.68744607,0.312741457
lactate ,2.772133357,2.775553575,2.686228897,2.767008341,2.664589353,2.636834265,2.511907501,2.685401436,2.64980418,2.745082722,2.658078446,2.769405388,16.30234779,16.01967967,1.017645054,0.318410196,,,GMP ,1.689377039,1.078911844,1.53577609,1.567506575,1.599926263,1.638570664,1.532176372,0.976876916,1.437158342,1.124063554,1.602266074,1.494723703,,,1.017645054,,lactate ,0.025234449,0.318410196,,lactate ,5.238698385,0.343644646
Oxalic Acid ,1.039557403,1.201375865,1.104369952,1.089099838,1.197178527,1.139911718,0.867710957,0.958217813,0.96866684,1.025942489,0.886865348,0.903726574,6.771493303,5.611130021,1.20679672,0.000286407,,,Propionate ,-0.036135175,0.125674851,0.028673231,0.013403984,0.121477662,0.064213198,-0.207962251,-0.117467469,-0.107019539,-0.04974905,-0.188810851,-0.171952048,,,1.20679672,,Oxalic Acid ,0.27118268,0.000286407,,Oxalic Acid ,0.796284771,0.271469087
Glyceraldehyde ,1.481058837,1.546854118,1.308692584,1.446761791,1.549423333,1.490222727,1.236923428,1.345122085,1.276484076,1.429973772,1.385286217,1.265223211,8.82301339,7.939012789,1.111348933,0.011366416,,,Pyruvate ,0.904114627,1.065933037,0.96892715,0.953657042,1.0617357,1.004468905,0.7322683,0.822775082,0.833224103,0.890499719,0.751422673,0.768283884,,,1.111348933,,Glyceraldehyde ,0.152311854,0.011366416,,Glyceraldehyde ,3.521555209,0.16367827
1C13-Lactate ,4.147174084,4.322859697,4.225874113,4.206309688,4.322846762,4.265223844,3.979236236,4.083588046,4.086368907,4.149811027,4.001027912,4.024787406,25.49028819,24.32481953,1.047912736,0.000493524,,,lactate ,2.772133357,2.775553575,2.686228897,2.767008341,2.664589353,2.636834265,2.511907501,2.685401436,2.64980418,2.745082722,2.658078446,2.769405388,,,1.047912736,,1C13-Lactate ,0.067518583,0.000493524,,1C13-Lactate ,9.220479292,0.068012106
Acetoacetate ,0.590467628,0.752285675,0.655279973,0.640009901,0.748088344,0.690821651,0.418622133,0.509128396,0.519577369,0.576852764,0.437776377,0.454637484,4.076953172,2.916594523,1.397847092,0.000286407,,,Oxalic Acid ,1.039557403,1.201375865,1.104369952,1.089099838,1.197178527,1.139911718,0.867710957,0.958217813,0.96866684,1.025942489,0.886865348,0.903726574,,,1.397847092,,Acetoacetate ,0.483206555,0.000286407,,Acetoacetate ,4.214381503,0.483492963
isoValeric Acid ,1.675337554,1.837156072,1.740150131,1.724880011,1.832958733,1.775691909,1.503490978,1.593997915,1.60444695,1.661722633,1.522645389,1.539506631,10.58617441,9.425810496,1.123104948,0.000286407,,,Glyceraldehyde ,1.481058837,1.546854118,1.308692584,1.446761791,1.549423333,1.490222727,1.236923428,1.345122085,1.276484076,1.429973772,1.385286217,1.265223211,,,1.123104948,,isoValeric Acid ,0.167492746,0.000286407,,isoValeric Acid ,5.203588148,0.167779154
gamma-Aminobutyrate ,1.147139164,0.840628492,1.084628959,1.097084081,0.970436452,1.027409331,1.423567691,1.261610347,1.311916266,1.271172742,1.310683275,1.299686257,6.167326479,7.878636578,0.782791085,0.00022287,,,1C13-Lactate ,4.147174084,4.322859697,4.225874113,4.206309688,4.322846762,4.265223844,3.979236236,4.083588046,4.086368907,4.149811027,4.001027912,4.024787406,,,0.782791085,,gamma-Aminobutyrate ,-0.353300768,0.00022287,,gamma-Aminobutyrate ,12.95841743,-0.353077899
Malonic Acid ,1.641408008,1.803226526,1.706220584,1.690950464,1.799029187,1.741762362,1.469561433,1.56006837,1.570517404,1.627793087,1.488715844,1.505577086,10.38259713,9.222233224,1.125822442,0.000286407,,,Acetoacetate ,0.590467628,0.752285675,0.655279973,0.640009901,0.748088344,0.690821651,0.418622133,0.509128396,0.519577369,0.576852764,0.437776377,0.454637484,,,1.125822442,,Malonic Acid ,0.170979312,0.000286407,,Malonic Acid ,2.595089067,0.17126572
3HBA ,2.170199477,2.251621964,2.238456989,2.281057016,2.198800205,1.992718572,2.0379212,2.126968649,2.183776987,2.213160453,2.133126947,1.999206453,13.13285422,12.69416069,1.034558688,0.206787405,,,isoValeric Acid ,1.675337554,1.837156072,1.740150131,1.724880011,1.832958733,1.775691909,1.503490978,1.593997915,1.60444695,1.661722633,1.522645389,1.539506631,,,1.034558688,,3HBA ,0.049015488,0.206787405,,3HBA ,5.758433341,0.255802892
Glycerate ,1.432778003,1.376955138,1.420322602,1.530189078,1.351820233,1.292864184,1.36614356,1.444829371,1.566415702,1.317674912,1.586164588,1.585746348,8.404929238,8.866974481,0.947891443,0.218535096,,,gamma-Aminobutyrate ,1.147139164,0.840628492,1.084628959,1.097084081,0.970436452,1.027409331,1.423567691,1.261610347,1.311916266,1.271172742,1.310683275,1.299686257,,,0.947891443,,Glycerate ,-0.07720625,0.218535096,,Glycerate ,4.829433717,0.141328846
Uracil ,1.916573739,1.476203235,1.706076994,1.943137953,1.622883512,1.650255617,1.569138211,1.854169534,1.688759594,1.447167469,1.564282493,1.648723,10.31513105,9.772240301,1.05555438,0.352095911,,,Malonic Acid ,1.641408008,1.803226526,1.706220584,1.690950464,1.799029187,1.741762362,1.469561433,1.56006837,1.570517404,1.627793087,1.488715844,1.505577086,,,1.05555438,,Uracil ,0.078000905,0.352095911,,Uracil ,5.677640397,0.430096816
Fumaric Acid ,1.588399631,1.718079346,1.462498908,1.616886979,1.698735098,1.587645676,1.522252894,1.474636568,1.720926639,1.483303258,1.825095698,1.633357576,9.672245638,9.659572633,1.001311963,0.976236962,,,3HBA ,2.170199477,2.251621964,2.238456989,2.281057016,2.198800205,1.992718572,2.0379212,2.126968649,2.183776987,2.213160453,2.133126947,1.999206453,,,1.001311963,,Fumaric Acid ,0.001891522,0.976236962,,Fumaric Acid ,7.346805816,0.978128484
Maleic Acid ,1.742539604,1.956604699,1.790425673,1.702354243,1.964818314,1.818232865,1.517932525,1.820797492,1.794755278,1.921618885,1.859065562,1.477955718,10.9749754,10.39212546,1.05608573,0.297275242,,,Glycerate ,1.432778003,1.376955138,1.420322602,1.530189078,1.351820233,1.292864184,1.36614356,1.444829371,1.566415702,1.317674912,1.586164588,1.585746348,,,1.05608573,,Maleic Acid ,0.078726953,0.297275242,,Maleic Acid ,5.545671578,0.376002195
N-AcetylGlycine ,0.775439556,0.953842242,0.932772405,0.895586734,0.728423524,0.873218071,0.694737042,0.841520895,0.879027061,0.704318483,0.795789319,0.718219877,5.159282532,4.633612677,1.113447086,0.100429939,,,Uracil ,1.916573739,1.476203235,1.706076994,1.943137953,1.622883512,1.650255617,1.569138211,1.854169534,1.688759594,1.447167469,1.564282493,1.648723,,,1.113447086,,N-AcetylGlycine ,0.155032999,0.100429939,,N-AcetylGlycine ,5.773620048,0.255462938
Guanidinoacetate ,1.480426616,1.642245129,1.54523919,1.52996907,1.63804779,1.580780967,1.30858005,1.39908698,1.409536014,1.466811694,1.327734459,1.3445957,9.416708762,8.256344897,1.140542078,0.000286407,,,Fumaric Acid ,1.588399631,1.718079346,1.462498908,1.616886979,1.698735098,1.587645676,1.522252894,1.474636568,1.720926639,1.483303258,1.825095698,1.633357576,,,1.140542078,,Guanidinoacetate ,0.189719672,0.000286407,,Guanidinoacetate ,6.08229861,0.19000608
2-Hydroxyisovaleric Acid ,1.485176193,1.612965568,1.516458157,1.593763653,1.569485883,1.55714885,1.608633062,1.452416552,1.53810716,1.509837323,1.678846404,1.61267748,9.334998304,9.400517981,0.993030206,0.783716556,,,Maleic Acid ,1.742539604,1.956604699,1.790425673,1.702354243,1.964818314,1.818232865,1.517932525,1.820797492,1.794755278,1.921618885,1.859065562,1.477955718,,,0.993030206,,2-Hydroxyisovaleric Acid ,-0.010090493,0.783716556,,2-Hydroxyisovaleric Acid ,6.251670371,0.773626063
Succinate ,2.715967904,2.648454547,2.666917338,2.693515495,2.57521856,2.561904708,2.376794728,2.429017798,2.511207397,2.539878264,2.546984778,2.540743757,15.86197855,14.94462672,1.061383389,0.002728339,,,N-AcetylGlycine ,0.775439556,0.953842242,0.932772405,0.895586734,0.728423524,0.873218071,0.694737042,0.841520895,0.879027061,0.704318483,0.795789319,0.718219877,,,1.061383389,,Succinate ,0.085945875,0.002728339,,Succinate ,3.279711068,0.088674214
Erythrose ,1.053040236,1.214858701,1.117852786,1.102582672,1.210661363,1.153394553,0.881193781,0.971700643,0.98214967,1.039425321,0.900348174,0.917209401,6.852390311,5.69202699,1.203857663,0.000286407,,,Guanidinoacetate ,1.480426616,1.642245129,1.54523919,1.52996907,1.63804779,1.580780967,1.30858005,1.39908698,1.409536014,1.466811694,1.327734459,1.3445957,,,1.203857663,,Erythrose ,0.267664827,0.000286407,,Erythrose ,5.342999516,0.267951234
Benzoic acid ,2.641306798,2.379290134,2.671554231,2.598871307,2.619816076,2.642469731,2.657844592,2.546166999,2.655805339,2.335546104,2.70659521,2.57582418,15.55330828,15.47778242,1.00487963,0.860471793,,,2-Hydroxyisovaleric Acid ,1.485176193,1.612965568,1.516458157,1.593763653,1.569485883,1.55714885,1.608633062,1.452416552,1.53810716,1.509837323,1.678846404,1.61267748,,,1.00487963,,Benzoic acid ,0.007022698,0.860471793,,Benzoic acid ,5.806240837,0.867494491
Nicotinate ,1.447322776,1.460987677,1.490159911,1.488856073,1.399803297,1.608393852,1.552951264,1.512284389,1.465315322,1.265781067,1.494991851,1.368233444,8.895523586,8.659557337,1.027249228,0.468120562,,,Succinate ,2.715967904,2.648454547,2.666917338,2.693515495,2.57521856,2.561904708,2.376794728,2.429017798,2.511207397,2.539878264,2.546984778,2.540743757,,,1.027249228,,Nicotinate ,0.038786246,0.468120562,,Nicotinate ,8.654856027,0.506906808
Citraconic Acid ,2.04896259,2.138035701,2.054576363,2.116905587,2.210935857,2.014661115,2.08917082,2.115857138,2.083444724,2.174567872,2.272051885,2.077684923,12.58407721,12.81277736,0.982150619,0.39303914,,,Erythrose ,1.053040236,1.214858701,1.117852786,1.102582672,1.210661363,1.153394553,0.881193781,0.971700643,0.98214967,1.039425321,0.900348174,0.917209401,,,0.982150619,,Citraconic Acid ,-0.025983807,0.39303914,,Citraconic Acid ,3.839133515,0.367055333
3-Methyl-2-Oxovaleric Acid ,1.372753873,1.303423122,1.24125586,1.256954745,1.19145101,1.217495176,1.252200225,1.160888963,1.222821294,1.210983344,1.365536489,1.480170946,7.583333786,7.692601261,0.98579577,0.748687432,,,Benzoic acid ,2.641306798,2.379290134,2.671554231,2.598871307,2.619816076,2.642469731,2.657844592,2.546166999,2.655805339,2.335546104,2.70659521,2.57582418,,,0.98579577,,3-Methyl-2-Oxovaleric Acid ,-0.020639304,0.748687432,,3-Methyl-2-Oxovaleric Acid ,8.603761264,0.728048128
D-Leucic Acid ,1.565949983,1.658213178,1.636879444,1.619741821,1.602475123,1.569827333,1.581856514,1.403009555,1.573657549,1.504930334,1.730176417,1.609624983,9.653086882,9.403255352,1.026568621,0.396215422,,,Nicotinate ,1.447322776,1.460987677,1.490159911,1.488856073,1.399803297,1.608393852,1.552951264,1.512284389,1.465315322,1.265781067,1.494991851,1.368233444,,,1.026568621,,D-Leucic Acid ,0.037830068,0.396215422,,D-Leucic Acid ,5.155574983,0.43404549
Glutaric Acid ,1.762403381,1.998316231,1.873677397,1.745765691,1.90416181,1.806257638,1.545417908,1.845896307,1.542585,1.80036586,1.790764652,1.749155977,11.09058215,10.2741857,1.079460939,0.070611918,,,Citraconic Acid ,2.04896259,2.138035701,2.054576363,2.116905587,2.210935857,2.014661115,2.08917082,2.115857138,2.083444724,2.174567872,2.272051885,2.077684923,,,1.079460939,,Glutaric Acid ,0.11031104,0.070611918,,Glutaric Acid ,7.603765619,0.180922958
Oxalacetate ,2.710336514,2.460966273,2.773445614,2.654874834,2.730297459,2.828071242,3.127194775,2.979558661,2.851923012,2.917808334,2.913870098,2.881926536,16.15799194,17.67228142,0.914312734,0.003332478,,,3-Methyl-2-Oxovaleric Acid ,1.372753873,1.303423122,1.24125586,1.256954745,1.19145101,1.217495176,1.252200225,1.160888963,1.222821294,1.210983344,1.365536489,1.480170946,,,0.914312734,,Oxalacetate ,-0.129240382,0.003332478,,Oxalacetate ,4.971003513,-0.125907904
Adenine ,2.118252841,2.368668066,2.320901784,2.04178682,2.133624078,2.158555686,2.436867646,2.017096408,2.098703342,2.254410376,2.110574421,2.138540867,13.14178928,13.05619306,1.006555986,0.861831671,,,D-Leucic Acid ,1.565949983,1.658213178,1.636879444,1.619741821,1.602475123,1.569827333,1.581856514,1.403009555,1.573657549,1.504930334,1.730176417,1.609624983,,,1.006555986,,Adenine ,0.009427419,0.861831671,,Adenine ,5.85128772,0.87125909
Hypoxanthine ,3.680318573,3.452017644,3.63727054,3.654750166,3.565816219,3.697458247,3.286689162,3.405745871,3.381061968,3.186993825,3.332042304,3.352242025,21.68763139,19.94477516,1.0873841,0.000154128,,,Glutaric Acid ,1.762403381,1.998316231,1.873677397,1.745765691,1.90416181,1.806257638,1.545417908,1.845896307,1.542585,1.80036586,1.790764652,1.749155977,,,1.0873841,,Hypoxanthine ,0.120861638,0.000154128,,Hypoxanthine ,6.427670589,0.121015766
Anthranilate ,1.994966991,2.156785511,2.059779568,2.044509448,2.152588172,2.095321347,1.823120409,1.91362735,1.924076384,1.981352069,1.842274821,1.859136064,12.50395104,11.3435871,1.102292505,0.000286407,,,Oxalacetate ,2.710336514,2.460966273,2.773445614,2.654874834,2.730297459,2.828071242,3.127194775,2.979558661,2.851923012,2.917808334,2.913870098,2.881926536,,,1.102292505,,Anthranilate ,0.140507109,0.000286407,,Anthranilate ,9.815897473,0.140793516
Adipic Acid ,1.953224437,2.027845596,1.996827894,1.9380869,2.010969874,2.017030078,1.819502845,2.012448295,1.834447491,2.165463549,1.939761824,1.906581358,11.94398478,11.67820536,1.022758584,0.435774271,,,Adenine ,2.118252841,2.368668066,2.320901784,2.04178682,2.133624078,2.158555686,2.436867646,2.017096408,2.098703342,2.254410376,2.110574421,2.138540867,,,1.022758584,,Adipic Acid ,0.032465646,0.435774271,,Adipic Acid ,7.526284248,0.468239917
Alpha-Ketoglutaric Acid ,2.010632093,1.855837992,2.023490367,1.984986925,1.892554537,2.013445139,2.241086079,2.23983302,2.203619185,2.098472667,2.279969745,2.295995133,11.78094705,13.35897583,0.881875018,7.66385E-05,,,Hypoxanthine ,3.680318573,3.452017644,3.63727054,3.654750166,3.565816219,3.697458247,3.286689162,3.405745871,3.381061968,3.186993825,3.332042304,3.352242025,,,0.881875018,,Alpha-Ketoglutaric Acid ,-0.181353887,7.66385E-05,,Alpha-Ketoglutaric Acid ,10.75315317,-0.181277249
Mevalonate ,0.8960092,1.057827605,0.960821721,0.945551613,1.053630269,0.996363475,0.724162883,0.814669659,0.825118679,0.882394293,0.743317254,0.760178464,5.910203883,4.749841232,1.244295039,0.000286407,,,Anthranilate ,1.994966991,2.156785511,2.059779568,2.044509448,2.152588172,2.095321347,1.823120409,1.91362735,1.924076384,1.981352069,1.842274821,1.859136064,,,1.244295039,,Mevalonate ,0.315328609,0.000286407,,Mevalonate ,6.927057993,0.315615016
2-Hydroxyglutarate ,2.690929137,2.430736818,2.600152603,2.664483402,2.563104821,2.579626103,3.036352094,2.822377884,2.894972749,2.837032222,2.861508779,2.967274478,15.52903288,17.41951821,0.891473157,9.66858E-05,,,Adipic Acid ,1.953224437,2.027845596,1.996827894,1.9380869,2.010969874,2.017030078,1.819502845,2.012448295,1.834447491,2.165463549,1.939761824,1.906581358,,,0.891473157,,2-Hydroxyglutarate ,-0.165736738,9.66858E-05,,2-Hydroxyglutarate ,6.903279888,-0.165640052
Oxypurinol ,2.263185833,2.141916255,2.246487696,2.139123189,2.135706721,2.264661712,1.882872198,2.018903494,1.997292364,1.901220214,2.08800158,2.051362536,13.19108141,11.93965239,1.104812852,0.000656985,,,Alpha-Ketoglutaric Acid ,2.010632093,1.855837992,2.023490367,1.984986925,1.892554537,2.013445139,2.241086079,2.23983302,2.203619185,2.098472667,2.279969745,2.295995133,,,1.104812852,,Oxypurinol ,0.143802007,0.000656985,,Oxypurinol ,7.779250397,0.144458993
