sample(compound name),M1D,F2D,F3D,F1D,M3D,M2D,M1P,M2P,F1P,M3P,F3P,F2P,,,,,,,,,,,,,,,,,,,,,,,,火山图,,,,聚类图,,
Xanthine ,2.712059904,2.661563725,2.708271514,2.62842147,2.637881362,2.776543416,2.357170787,2.519915086,2.474344273,2.395014964,2.548440433,2.52592577,16.12474139,14.82081131,1.087979669,0.000238679,,,Mevalonate ,0.8960092,1.057827605,0.960821721,0.945551613,1.053630269,0.996363475,0.724162883,0.814669659,0.825118679,0.882394293,0.743317254,0.760178464,,,1.087979669,,Xanthine ,0.121651598,0.000238679,,Xanthine ,3.47386968,0.121890276
Dopamine ,1.187672341,1.192333682,1.163550125,1.345106737,1.176156769,1.155178686,1.245405665,1.341927244,1.308572717,1.320150633,1.567599043,1.240412188,7.21999834,8.02406749,0.899792823,0.040271008,,,2-Hydroxyglutarate ,2.690929137,2.430736818,2.600152603,2.664483402,2.563104821,2.579626103,3.036352094,2.822377884,2.894972749,2.837032222,2.861508779,2.967274478,,,0.899792823,,Dopamine ,-0.152335235,0.040271008,,Dopamine ,9.565608302,-0.112064227
Orotate ,1.745794719,1.93510778,1.798118626,1.719305853,1.834676728,2.145896202,1.350918496,1.481275048,1.552740587,1.700407693,1.446443967,1.616660002,11.17889991,9.148445793,1.221945253,0.002095793,,,Oxypurinol ,2.263185833,2.141916255,2.246487696,2.139123189,2.135706721,2.264661712,1.882872198,2.018903494,1.997292364,1.901220214,2.08800158,2.051362536,,,1.221945253,,Orotate ,0.289179649,0.002095793,,Orotate ,7.262529583,0.291275442
Allantoin ,1.085389114,1.247207587,1.150201668,1.134931553,1.243010249,1.185743437,0.913542642,1.004049514,1.014498543,1.071774198,0.932697037,0.949558266,7.046483608,5.8861202,1.197135527,0.000286407,,,Xanthine ,2.712059904,2.661563725,2.708271514,2.62842147,2.637881362,2.776543416,2.357170787,2.519915086,2.474344273,2.395014964,2.548440433,2.52592577,,,1.197135527,,Allantoin ,0.259586488,0.000286407,,Allantoin ,8.666516694,0.259872896
2-Aminoadipate ,2.013050737,1.684449666,1.820718255,2.024117667,1.657866016,1.598716999,2.163395752,1.881188896,1.764549296,1.969794119,1.909287672,2.458289369,10.79891934,12.1465051,0.889055679,0.106808201,,,Dopamine ,1.187672341,1.192333682,1.163550125,1.345106737,1.176156769,1.155178686,1.245405665,1.341927244,1.308572717,1.320150633,1.567599043,1.240412188,,,0.889055679,,2-Aminoadipate ,-0.169654322,0.106808201,,2-Aminoadipate ,5.017217543,-0.06284612
Quinolinate ,0.96351806,0.934425475,0.958079028,1.032103721,1.219300281,1.012609553,0.818933821,1.04934021,1.092078975,1.100253679,0.782703247,0.879456939,6.120036118,5.722766871,1.069419086,0.381532472,,,Orotate ,1.745794719,1.93510778,1.798118626,1.719305853,1.834676728,2.145896202,1.350918496,1.481275048,1.552740587,1.700407693,1.446443967,1.616660002,,,1.069419086,,Quinolinate ,0.09682733,0.381532472,,Quinolinate ,5.832930748,0.478359802
PEP ,1.820012886,1.438970371,1.716856787,1.860189358,1.715338845,1.767273262,1.529602755,1.985356064,1.734079823,1.344521517,1.532511768,1.623960346,10.31864151,9.750032273,1.058318703,0.400202204,,,Allantoin ,1.085389114,1.247207587,1.150201668,1.134931553,1.243010249,1.185743437,0.913542642,1.004049514,1.014498543,1.071774198,0.932697037,0.949558266,,,1.058318703,,PEP ,0.081774147,0.400202204,,PEP ,4.012348204,0.481976351
Homogentisate ,1.516323525,1.678142039,1.581136099,1.56586598,1.6739447,1.616677877,1.344476956,1.434983888,1.445432922,1.502708603,1.363631366,1.380492607,9.63209022,8.471726342,1.136968999,0.000286407,,,2-Aminoadipate ,2.013050737,1.684449666,1.820718255,2.024117667,1.657866016,1.598716999,2.163395752,1.881188896,1.764549296,1.969794119,1.909287672,2.458289369,,,1.136968999,,Homogentisate ,0.185192918,0.000286407,,Homogentisate ,7.474340159,0.185479325
Urate ,2.64569104,2.560244102,2.952049921,2.667552601,2.823843209,2.703974892,2.955364245,2.879157848,2.408034555,3.035045696,2.536260842,2.36530781,16.35335577,16.179171,1.010765989,0.831820066,,,Quinolinate ,0.96351806,0.934425475,0.958079028,1.032103721,1.219300281,1.012609553,0.818933821,1.04934021,1.092078975,1.100253679,0.782703247,0.879456939,,,1.010765989,,Urate ,0.015449025,0.831820066,,Urate ,3.773179854,0.84726909
D-GA3P ,1.470012775,1.484463143,1.467727352,1.437223426,1.526302524,1.517513447,1.593076636,1.397165905,1.395849072,1.715105742,1.447764059,1.65134307,8.903242667,9.200304484,0.967711741,0.413166509,,,PEP ,1.820012886,1.438970371,1.716856787,1.860189358,1.715338845,1.767273262,1.529602755,1.985356064,1.734079823,1.344521517,1.532511768,1.623960346,,,0.967711741,,D-GA3P ,-0.047350729,0.413166509,,D-GA3P ,5.468705372,0.365815779
Glycerol-3-P ,2.599865471,2.275132746,2.368609672,2.627818557,2.294533748,2.315627489,2.409969428,2.61217078,2.56698335,2.322772168,2.478102647,2.498506586,14.48158768,14.88850496,0.97266903,0.402511237,,,Homogentisate ,1.516323525,1.678142039,1.581136099,1.56586598,1.6739447,1.616677877,1.344476956,1.434983888,1.445432922,1.502708603,1.363631366,1.380492607,,,0.97266903,,Glycerol-3-P ,-0.039979111,0.402511237,,Glycerol-3-P ,5.219501606,0.362532125
Aconitate ,1.158339189,1.402616568,1.227559089,1.291654907,1.239876624,1.050260514,1.190083182,1.127241067,1.190380302,1.120541097,1.366948681,1.321742177,7.370306891,7.316936506,1.007294089,0.892420465,,,Urate ,2.64569104,2.560244102,2.952049921,2.667552601,2.823843209,2.703974892,2.955364245,2.879157848,2.408034555,3.035045696,2.536260842,2.36530781,,,1.007294089,,Aconitate ,0.010484953,0.892420465,,Aconitate ,8.943908437,0.902905418
Shikimic Acid ,1.268669858,1.451156313,0.862124294,0.986382617,1.211264059,0.963671471,0.795897366,1.060404072,0.90934214,1.076688064,1.134237784,0.816979139,6.743268612,5.793548565,1.163927175,0.174980699,,,D-GA3P ,1.470012775,1.484463143,1.467727352,1.437223426,1.526302524,1.517513447,1.593076636,1.397165905,1.395849072,1.715105742,1.447764059,1.65134307,,,1.163927175,,Shikimic Acid ,0.219000793,0.174980699,,Shikimic Acid ,5.978140046,0.393981493
Citrulline ,2.676015897,2.457766671,2.740950337,2.756611648,2.471919828,2.636452571,2.60676353,2.575243293,2.761814592,2.496761304,2.968116046,2.847704626,15.73971695,16.25640339,0.968216436,0.365376539,,,Glycerol-3-P ,2.599865471,2.275132746,2.368609672,2.627818557,2.294533748,2.315627489,2.409969428,2.61217078,2.56698335,2.322772168,2.478102647,2.498506586,,,0.968216436,,Citrulline ,-0.04659851,0.365376539,,Citrulline ,8.267597837,0.318778029
Ascorbic Acid ,3.163697375,2.437623132,3.022799108,2.807195813,1.820003192,2.909343086,3.178254883,3.016654221,2.993165608,1.569393406,2.879009985,2.816767597,16.16066171,16.4532457,0.982217248,0.879429273,,,Aconitate ,1.158339189,1.402616568,1.227559089,1.291654907,1.239876624,1.050260514,1.190083182,1.127241067,1.190380302,1.120541097,1.366948681,1.321742177,,,0.982217248,,Ascorbic Acid ,-0.025885939,0.879429273,,Ascorbic Acid ,4.791449203,0.853543334
Hippuric Acid ,1.833520399,1.109213679,1.487616194,1.764942065,1.1674808,0.827660189,1.099784864,1.012686955,1.266037428,0.956937779,1.086921922,1.314860153,8.190433326,6.737229101,1.215697611,0.189183682,,,Shikimic Acid ,1.268669858,1.451156313,0.862124294,0.986382617,1.211264059,0.963671471,0.795897366,1.060404072,0.90934214,1.076688064,1.134237784,0.816979139,,,1.215697611,,Hippuric Acid ,0.281784422,0.189183682,,Hippuric Acid ,4.243602598,0.470968104
Inositol ,2.787325928,2.752983279,2.738255633,2.744467087,2.573155475,2.618550704,2.736411221,2.636097281,2.738424034,2.621896628,2.972560131,3.019360191,16.21473811,16.72474949,0.969505589,0.298115858,,,Citrulline ,2.676015897,2.457766671,2.740950337,2.756611648,2.471919828,2.636452571,2.60676353,2.575243293,2.761814592,2.496761304,2.968116046,2.847704626,,,0.969505589,,Inositol ,-0.044678879,0.298115858,,Inositol ,9.282087565,0.253436979
Glucose ,2.046427583,2.146668553,2.057205573,2.201698765,2.107696769,1.999370411,2.360531621,2.131914392,2.269576772,2.213325256,2.296185987,2.493441395,12.55906765,13.76497542,0.912393031,0.006749323,,,Ascorbic Acid ,3.163697375,2.437623132,3.022799108,2.807195813,1.820003192,2.909343086,3.178254883,3.016654221,2.993165608,1.569393406,2.879009985,2.816767597,,,0.912393031,,Glucose ,-0.132272667,0.006749323,,Glucose ,8.177564019,-0.125523344
Fructose ,1.911584344,2.073402864,1.976396921,1.961126801,2.069205525,2.0119387,1.739737763,1.830244703,1.840693738,1.897969422,1.758892174,1.775753417,12.00365516,10.84329122,1.107012153,0.000286407,,,Hippuric Acid ,1.833520399,1.109213679,1.487616194,1.764942065,1.1674808,0.827660189,1.099784864,1.012686955,1.266037428,0.956937779,1.086921922,1.314860153,,,1.107012153,,Fructose ,0.14667106,0.000286407,,Fructose ,4.465732007,0.146957468
OH-Phenylpyruvate ,1.327203622,1.437037569,1.262685696,1.299144962,1.194982561,1.212565756,1.434204586,1.306748171,1.307755056,1.222133024,1.487800219,1.573280082,7.733620166,8.331921138,0.928191714,0.154648053,,,Inositol ,2.787325928,2.752983279,2.738255633,2.744467087,2.573155475,2.618550704,2.736411221,2.636097281,2.738424034,2.621896628,2.972560131,3.019360191,,,0.928191714,,OH-Phenylpyruvate ,-0.107505276,0.154648053,,OH-Phenylpyruvate ,9.542008664,0.047142777
Homovanilate ,1.765438659,1.772305742,1.674039821,1.710118071,1.614518386,1.718606615,1.684657541,1.683900575,1.645437571,1.896420317,1.7439078,1.802450433,10.25502729,10.45677424,0.980706579,0.472753253,,,Glucose ,2.046427583,2.146668553,2.057205573,2.201698765,2.107696769,1.999370411,2.360531621,2.131914392,2.269576772,2.213325256,2.296185987,2.493441395,,,0.980706579,,Homovanilate ,-0.028106538,0.472753253,,Homovanilate ,7.983659217,0.444646714
4-Pyridoxic acid ,3.16513292,3.405614625,3.264038242,3.271430187,3.411973351,3.351332165,2.955719923,3.112936151,3.101903201,3.229611197,2.994290367,3.021294614,19.86952149,18.41575545,1.078941428,0.00156518,,,Fructose ,1.911584344,2.073402864,1.976396921,1.961126801,2.069205525,2.0119387,1.739737763,1.830244703,1.840693738,1.897969422,1.758892174,1.775753417,,,1.078941428,,4-Pyridoxic acid ,0.109616548,0.00156518,,4-Pyridoxic acid ,6.511556441,0.111181729
2/3-Phosphoglyceric Acid ,1.443687275,1.662707079,1.526517074,1.463335606,1.515642004,1.507081993,1.439366094,1.270081139,1.495398112,1.449770976,1.568056446,1.594807775,9.118971031,8.817480542,1.034192362,0.397095891,,,OH-Phenylpyruvate ,1.327203622,1.437037569,1.262685696,1.299144962,1.194982561,1.212565756,1.434204586,1.306748171,1.307755056,1.222133024,1.487800219,1.573280082,,,1.034192362,,2/3-Phosphoglyceric Acid ,0.048504555,0.397095891,,2/3-Phosphoglyceric Acid ,5.317405687,0.445600446
Azelaic Acid ,3.490302588,3.662406146,3.35251606,3.4544054,3.533295946,3.385024956,3.375983897,3.603409702,3.587000386,3.69616041,3.671925843,3.346148867,20.8779511,21.28062911,0.981077721,0.39935789,,,Homovanilate ,1.765438659,1.772305742,1.674039821,1.710118071,1.614518386,1.718606615,1.684657541,1.683900575,1.645437571,1.896420317,1.7439078,1.802450433,,,0.981077721,,Azelaic Acid ,-0.027560664,0.39935789,,Azelaic Acid ,6.423856271,0.371797226
Glucoronate ,1.597568735,0.879868105,1.313020141,1.332711173,1.105485397,1.093994361,1.286419007,1.167903151,1.397028023,1.266680795,1.427864341,1.492316736,7.322647912,8.038212053,0.910979688,0.314603923,,,4-Pyridoxic acid ,3.16513292,3.405614625,3.264038242,3.271430187,3.411973351,3.351332165,2.955719923,3.112936151,3.101903201,3.229611197,2.994290367,3.021294614,,,0.910979688,,Glucoronate ,-0.134509207,0.314603923,,Glucoronate ,10.15617587,0.180094716
Xanthurenate ,2.249156463,2.465253219,2.318531345,2.292964136,2.418269819,2.363333795,2.102227506,2.150886613,2.158861402,2.187499509,2.072022112,2.073067014,14.10750878,12.74456416,1.106943212,0.000148308,,,2/3-Phosphoglyceric Acid ,1.443687275,1.662707079,1.526517074,1.463335606,1.515642004,1.507081993,1.439366094,1.270081139,1.495398112,1.449770976,1.568056446,1.594807775,,,1.106943212,,Xanthurenate ,0.146581211,0.000148308,,Xanthurenate ,5.719578409,0.146729519
Pentothenate ,2.829218556,2.463657402,2.593681447,2.739848439,2.385273981,2.396430739,2.956149252,2.825125378,2.910176691,2.705688426,3.171030272,3.178883024,15.40811056,17.74705304,0.868206712,0.004772109,,,Azelaic Acid ,3.490302588,3.662406146,3.35251606,3.4544054,3.533295946,3.385024956,3.375983897,3.603409702,3.587000386,3.69616041,3.671925843,3.346148867,,,0.868206712,,Pentothenate ,-0.20388952,0.004772109,,Pentothenate ,11.58244183,-0.19911741
Cystathionine ,2.243487675,1.704211175,2.313949614,1.714787771,2.341564912,2.451847782,2.474262704,2.137223374,2.01062239,2.054826259,2.057012421,1.785279278,12.76984893,12.51922643,1.020019009,0.803301955,,,Glucoronate ,1.597568735,0.879868105,1.313020141,1.332711173,1.105485397,1.093994361,1.286419007,1.167903151,1.397028023,1.266680795,1.427864341,1.492316736,,,1.020019009,,Cystathionine ,0.028596038,0.803301955,,Cystathionine ,5.206880881,0.831897993
Ribose-5-P ,2.56157206,2.21470605,2.379035974,2.624515153,2.430507274,2.558438772,2.57911905,2.657774577,2.581841769,2.306513824,2.563972213,2.565977408,14.76877528,15.25519884,0.968114243,0.329346895,,,Xanthurenate ,2.249156463,2.465253219,2.318531345,2.292964136,2.418269819,2.363333795,2.102227506,2.150886613,2.158861402,2.187499509,2.072022112,2.073067014,,,0.968114243,,Ribose-5-P ,-0.046750791,0.329346895,,Ribose-5-P ,7.300702878,0.282596105
Melatonin ,0.590790375,0.752608423,0.65560272,0.640332649,0.748411092,0.691144398,0.418944879,0.509451143,0.519900116,0.577175511,0.438099123,0.45496023,4.078889657,2.918531002,1.397583118,0.000286407,,,Pentothenate ,2.829218556,2.463657402,2.593681447,2.739848439,2.385273981,2.396430739,2.956149252,2.825125378,2.910176691,2.705688426,3.171030272,3.178883024,,,1.397583118,,Melatonin ,0.482934086,0.000286407,,Melatonin ,10.45318484,0.483220494
Biotin ,2.45300339,2.11121556,2.378007248,2.465229807,2.422923935,2.458240406,2.531685735,2.488456304,2.424780102,2.324553489,2.407755532,2.477458927,14.28862035,14.65469009,0.975020301,0.356522727,,,Cystathionine ,2.243487675,1.704211175,2.313949614,1.714787771,2.341564912,2.451847782,2.474262704,2.137223374,2.01062239,2.054826259,2.057012421,1.785279278,,,0.975020301,,Biotin ,-0.036495837,0.356522727,,Biotin ,6.872138259,0.320026891
Pyridoxal-5-P ,0.252519351,0.414335624,0.317330824,0.302060935,0.410138324,0.352872124,0.08067793,0.171181654,0.181630396,0.238904706,0.099831545,0.116692143,2.049257182,0.888918374,2.30533786,0.000286407,,,Ribose-5-P ,2.56157206,2.21470605,2.379035974,2.624515153,2.430507274,2.558438772,2.57911905,2.657774577,2.581841769,2.306513824,2.563972213,2.565977408,,,2.30533786,,Pyridoxal-5-P ,1.204978201,0.000286407,,Pyridoxal-5-P ,9.741801305,1.205264608
G1P/G6P/F6P/F1P ,2.816113871,2.872550402,2.908179374,2.704937079,2.762950037,2.921793048,3.081993161,2.854237876,2.869826973,2.860194148,2.869639978,3.013289138,16.98652381,17.54918127,0.96793825,0.107552249,,,Melatonin ,0.590790375,0.752608423,0.65560272,0.640332649,0.748411092,0.691144398,0.418944879,0.509451143,0.519900116,0.577175511,0.438099123,0.45496023,,,0.96793825,,G1P/G6P/F6P/F1P ,-0.047013082,0.107552249,,G1P/G6P/F6P/F1P ,2.438173114,0.060539167
Margaric Acid ,1.974012507,2.033401028,2.056744026,1.963065345,2.013324455,2.039935958,1.786846821,1.843256401,1.862202559,1.917123656,1.791610505,1.798558032,12.08048332,10.99959797,1.098265895,3.92695E-05,,,Biotin ,2.45300339,2.11121556,2.378007248,2.465229807,2.422923935,2.458240406,2.531685735,2.488456304,2.424780102,2.324553489,2.407755532,2.477458927,,,1.098265895,,Margaric Acid ,0.13522738,3.92695E-05,,Margaric Acid ,8.308033843,0.13526665
Linoleic Acid ,0.156093383,0.317908398,0.220904239,0.205634479,0.313711121,0.25644527,-0.015745152,0.074756772,0.085205351,0.142478892,0.003408017,0.020268254,1.47069689,0.310372134,4.738495274,0.000286407,,,Pyridoxal-5-P ,0.252519351,0.414335624,0.317330824,0.302060935,0.410138324,0.352872124,0.08067793,0.171181654,0.181630396,0.238904706,0.099831545,0.116692143,,,4.738495274,,Linoleic Acid ,2.244428999,0.000286407,,Linoleic Acid ,5.193923668,2.244715406
Xanthosine ,2.396276887,1.979078439,2.286742345,2.372681747,2.271985617,2.3421984,2.462448093,2.563439024,2.351779286,2.305880632,2.301773086,2.33565956,13.64896344,14.32097968,0.953074702,0.168785173,,,G1P/G6P/F6P/F1P ,2.816113871,2.872550402,2.908179374,2.704937079,2.762950037,2.921793048,3.081993161,2.854237876,2.869826973,2.860194148,2.869639978,3.013289138,,,0.953074702,,Xanthosine ,-0.069338799,0.168785173,,Xanthosine ,9.696197966,0.099446374
13-HODE ,2.033400857,2.185931626,1.96536265,2.038063744,2.088197969,2.003415341,1.852863761,2.130495231,1.905498996,2.100797827,1.968157278,1.898268928,12.31437219,11.85608202,1.038654436,0.205246241,,,Margaric Acid ,1.974012507,2.033401028,2.056744026,1.963065345,2.013324455,2.039935958,1.786846821,1.843256401,1.862202559,1.917123656,1.791610505,1.798558032,,,1.038654436,,13-HODE ,0.054715745,0.205246241,,13-HODE ,6.545946629,0.259961986
Reduced glutathione ,2.477972481,2.343467609,2.377042297,2.444519697,2.325860439,2.388382243,2.640225422,2.573021213,2.811945174,2.496503227,2.793119822,2.908266332,14.35724477,16.22308119,0.884988776,0.001127719,,,Linoleic Acid ,0.156093383,0.317908398,0.220904239,0.205634479,0.313711121,0.25644527,-0.015745152,0.074756772,0.085205351,0.142478892,0.003408017,0.020268254,,,0.884988776,,Reduced glutathione ,-0.176268937,0.001127719,,Reduced glutathione ,1.051143939,-0.175141217
N-Acetylneuraminate ,1.702190811,1.163714718,1.504826293,1.5354414,1.532382095,1.489242242,1.712403594,1.820318294,1.684933233,1.584516988,1.644658104,1.782715536,8.927797559,10.22954575,0.872746237,0.022257223,,,Xanthosine ,2.396276887,1.979078439,2.286742345,2.372681747,2.271985617,2.3421984,2.462448093,2.563439024,2.351779286,2.305880632,2.301773086,2.33565956,,,0.872746237,,N-Acetylneuraminate ,-0.196365863,0.022257223,,N-Acetylneuraminate ,7.816059515,-0.174108641
DTMP ,1.701749703,1.93850762,1.80403921,1.784684864,1.812990021,1.778317663,1.579782855,1.596304252,1.621037564,1.704729358,1.567900173,1.637854679,10.82028908,9.707608881,1.114619389,0.000574451,,,13-HODE ,2.033400857,2.185931626,1.96536265,2.038063744,2.088197969,2.003415341,1.852863761,2.130495231,1.905498996,2.100797827,1.968157278,1.898268928,,,1.114619389,,DTMP ,0.156551155,0.000574451,,DTMP ,7.081843422,0.157125606
CMP ,1.882548417,1.749262183,1.906708459,1.746919375,1.802573752,1.859942821,1.873119615,1.462481682,1.583676983,1.433859882,1.751057887,1.744100814,10.94795501,9.848296863,1.111659727,0.038755924,,,Reduced glutathione ,2.477972481,2.343467609,2.377042297,2.444519697,2.325860439,2.388382243,2.640225422,2.573021213,2.811945174,2.496503227,2.793119822,2.908266332,,,1.111659727,,CMP ,0.152715255,0.038755924,,CMP ,9.309549108,0.191471179
Sucrose ,2.068471498,2.449314753,1.918296284,2.476006436,1.942549657,1.843420158,1.546097947,2.025199088,1.921888183,2.179420536,1.946227042,1.949556429,12.69805879,11.56838923,1.097651414,0.214659617,,,N-Acetylneuraminate ,1.702190811,1.163714718,1.504826293,1.5354414,1.532382095,1.489242242,1.712403594,1.820318294,1.684933233,1.584516988,1.644658104,1.782715536,,,1.097651414,,Sucrose ,0.134419964,0.214659617,,Sucrose ,6.109542042,0.34907958
AMP ,2.507766472,2.842562306,2.722051977,2.478059954,2.415052812,2.45777443,3.132317235,2.342314287,2.757961904,2.960558077,2.776797274,3.019493463,15.42326795,16.98944224,0.90781485,0.079500196,,,DTMP ,1.701749703,1.93850762,1.80403921,1.784684864,1.812990021,1.778317663,1.579782855,1.596304252,1.621037564,1.704729358,1.567900173,1.637854679,,,0.90781485,,AMP ,-0.139530008,0.079500196,,AMP ,5.81829906,-0.060029812
IMP ,3.741016212,3.561023369,3.706766438,3.682565026,3.598568424,3.710005987,3.681207844,3.135115571,3.587681567,3.348279618,3.710760536,3.71377826,21.99994546,21.1768234,1.038869005,0.204652093,,,CMP ,1.882548417,1.749262183,1.906708459,1.746919375,1.802573752,1.859942821,1.873119615,1.462481682,1.583676983,1.433859882,1.751057887,1.744100814,,,1.038869005,,IMP ,0.055013751,0.204652093,,IMP ,5.967887588,0.259665844
UDP ,1.615395034,1.489222582,1.571297344,1.558949169,1.480916585,1.579102427,1.873262227,1.593305206,1.613196073,1.479553669,1.64668437,1.725281395,9.294883141,9.93128294,0.935919679,0.100518996,,,Sucrose ,2.068471498,2.449314753,1.918296284,2.476006436,1.942549657,1.843420158,1.546097947,2.025199088,1.921888183,2.179420536,1.946227042,1.949556429,,,0.935919679,,UDP ,-0.095543372,0.100518996,,UDP ,7.011123686,0.004975624
ADP ,1.201082574,1.079966106,1.138064079,1.151459368,1.120156429,1.101067665,1.330578589,1.109977321,1.165469774,1.209657234,1.266132455,1.279399076,6.791796221,7.361214449,0.922646157,0.029207878,,,AMP ,2.507766472,2.842562306,2.722051977,2.478059954,2.415052812,2.45777443,3.132317235,2.342314287,2.757961904,2.960558077,2.776797274,3.019493463,,,0.922646157,,ADP ,-0.116150628,0.029207878,,ADP ,9.679494971,-0.086942749
GDP ,1.243654402,0.913148026,1.148057058,1.007890122,0.962642612,1.047406008,1.459054543,1.071428535,1.045094976,0.907497923,1.317588548,1.210366422,6.322798228,7.011030947,0.901835732,0.259606897,,,IMP ,3.741016212,3.561023369,3.706766438,3.682565026,3.598568424,3.710005987,3.681207844,3.135115571,3.587681567,3.348279618,3.710760536,3.71377826,,,0.901835732,,GDP ,-0.149063422,0.259606897,,GDP ,11.67465415,0.110543476
Glycochenodeoxycholate ,1.625646605,1.787465122,1.690459181,1.675189061,1.783267783,1.726000959,1.45380003,1.544306966,1.554756001,1.612031683,1.472954441,1.489815683,10.28802871,9.127664804,1.127126043,0.000286407,,,UDP ,1.615395034,1.489222582,1.571297344,1.558949169,1.480916585,1.579102427,1.873262227,1.593305206,1.613196073,1.479553669,1.64668437,1.725281395,,,1.127126043,,Glycochenodeoxycholate ,0.172648856,0.000286407,,Glycochenodeoxycholate ,5.978645477,0.172935264
Adenylosuccinate ,0.89965046,0.637790268,0.728270465,0.779405888,0.740566375,0.797835421,1.02409338,0.795112983,0.96526889,0.953265102,1.036793238,1.041098513,4.583518877,5.815632106,0.788137694,0.002706944,,,ADP ,1.201082574,1.079966106,1.138064079,1.151459368,1.120156429,1.101067665,1.330578589,1.109977321,1.165469774,1.209657234,1.266132455,1.279399076,,,0.788137694,,Adenylosuccinate ,-0.343480393,0.002706944,,Adenylosuccinate ,4.543326459,-0.340773449
Glycocholate ,0.855405138,1.017223519,0.920217647,0.904947541,1.013026183,0.955759396,0.683558876,0.774065617,0.784514634,0.841790233,0.702713238,0.719574441,5.666579424,4.506217039,1.257502551,0.000286407,,,GDP ,1.243654402,0.913148026,1.148057058,1.007890122,0.962642612,1.047406008,1.459054543,1.071428535,1.045094976,0.907497923,1.317588548,1.210366422,,,1.257502551,,Glycocholate ,0.330561327,0.000286407,,Glycocholate ,4.692955444,0.330847735
Oxidized glutathione ,2.242937977,1.946230862,2.11211773,2.15019437,2.054826755,2.083910871,2.542349172,2.288356694,2.175278792,2.108482633,2.106836011,2.162096499,12.59021857,13.3833998,0.94073395,0.125468146,,,Glycochenodeoxycholate ,1.625646605,1.787465122,1.690459181,1.675189061,1.783267783,1.726000959,1.45380003,1.544306966,1.554756001,1.612031683,1.472954441,1.489815683,,,0.94073395,,Oxidized glutathione ,-0.088141324,0.125468146,,Oxidized glutathione ,5.515535757,0.037326822
,,,,,,,,,,,,,,,,,,,Adenylosuccinate ,0.89965046,0.637790268,0.728270465,0.779405888,0.740566375,0.797835421,1.02409338,0.795112983,0.96526889,0.953265102,1.036793238,1.041098513,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Glycocholate ,0.855405138,1.017223519,0.920217647,0.904947541,1.013026183,0.955759396,0.683558876,0.774065617,0.784514634,0.841790233,0.702713238,0.719574441,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Oxidized glutathione ,2.242937977,1.946230862,2.11211773,2.15019437,2.054826755,2.083910871,2.542349172,2.288356694,2.175278792,2.108482633,2.106836011,2.162096499,,,,,,,,,,,